"Company","Specific_Bean_Origin_or_Bar_Name","REF","Review_Date","Cocoa_Percentage","Company_Location","Rating","Bean_Type","Broad_Bean_Origin","is_bitter"
"Cacao Atlanta","Dominican Republic, ""Love Bar""",502,2010,75,"U.S.A.",2.5,NA,"Dominican Republic","Yes"
"Cacao Atlanta","Dominican Republic w/ nibs",502,2010,75,"U.S.A.",2.75,NA,"Dominican Republic","Yes"
"Cacao Atlanta","Patanemo",600,2010,75,"U.S.A.",2.25,NA,"Venezuela","Yes"
"Cacao Barry","Grand 'Anse",1716,2016,65,"France",3.5,"Trinitario, Criollo","Haiti","No"
"Cacao Barry","Santo Domingo",586,2010,70,"France",3,NA,"Dominican Republic","Yes"
"Cacao Barry","Tanzania",300,2008,75,"France",2,NA,"Tanzania","Yes"
"Cacao Barry","Venezuela",141,2007,72,"France",2,NA,"Venezuela","Yes"
"Cacao Barry","Mexico",147,2007,66,"France",3,NA,"Mexico","No"
"Cacao de Origen","Chuao",1688,2015,77,"Venezuela",3.5,"Trinitario","Venezuela","Yes"
"Cacao de Origen","Rio Caribe",1692,2015,75,"Venezuela",3.25,"Trinitario","Venezuela","Yes"
"Cacao de Origen","Agua Fria; Sucre region",1391,2014,75,"Venezuela",2.5,NA,"Venezuela","Yes"
"Cacao de Origen","Macuare; Miranda; Chloe formula",1391,2014,74,"Venezuela",3.25,NA,"Venezuela","Yes"
"Cacao de Origen","Chuao, Aragua region",1391,2014,75,"Venezuela",3.5,"Trinitario","Venezuela","Yes"
"Cacao de Origen","Chuao, Aragua region",1395,2014,70,"Venezuela",3.75,"Trinitario","Venezuela","Yes"
"Cacao de Origin","Hacienda la Trinidad",1668,2015,74,"Venezuela",3.25,NA,"Venezuela","Yes"
"Cacao Hunters","Macondo",1816,2016,71,"Colombia",3.75,NA,"Colombia","Yes"
"Cacao Hunters","Perla Negra",1816,2016,74,"Colombia",3.75,NA,"Colombia","Yes"
"Cacao Hunters","Arhuacos",1662,2015,72,"Colombia",3.75,NA,"Colombia","Yes"
"Cacao Hunters","Sierra Nevada",1430,2014,64,"Colombia",3.5,NA,"Colombia","No"
"Cacao Hunters","Tumaco",1430,2014,70,"Colombia",3.5,NA,"Colombia","Yes"
"Cacao Hunters","Boyaca, Aprocampa Coop, Pauna",1434,2014,69,"Colombia",2.75,NA,"Colombia","No"
"Cacao Hunters","Arauca",1434,2014,70,"Colombia",3.25,NA,"Colombia","Yes"
"Cacao Market","Jutiapa, lot 050916D",1860,2016,70,"U.S.A.",3.5,"Trinitario","Honduras","Yes"
"Cacao Prieto","Criollo, Dominican Republic",991,2012,72,"U.S.A.",3.75,"Criollo","Dominican Republic","Yes"
"Cacao Prieto","Dominican Republicm, rustic",641,2011,72,"U.S.A.",3,NA,"Dominican Republic","Yes"
"Cacao Prieto","Dominican Republic",641,2011,66,"U.S.A.",3.75,NA,"Dominican Republic","No"
"Cacao Prieto","Dominican Republic, rustic",647,2011,65,"U.S.A.",3.25,NA,"Dominican Republic","No"
"Cacao Sampaka","Mahali, Kasai",1908,2016,70,"Spain",3.5,"Criollo","Congo","Yes"
"Cacao Sampaka","Madagascar",508,2010,71,"Spain",3.5,"Trinitario","Madagascar","Yes"
"Cacao Sampaka","Ecuador",523,2010,71,"Spain",3.75,NA,"Ecuador","Yes"
"Cacao Sampaka","Papua",523,2010,71,"Spain",4,NA,"Papua New Guinea","Yes"
"Cacao Sampaka","Grenada",537,2010,71,"Spain",3.25,"Trinitario","Grenada","Yes"
"Cacao Sampaka","Venezuela",537,2010,71,"Spain",3.5,NA,"Venezuela","Yes"
"Cacao Sampaka","Venezuela",537,2010,77,"Spain",3.5,NA,"Venezuela","Yes"
"Cacao Sampaka","Porcelana, Tabasco, La Joya",336,2009,70,"Spain",4,"Criollo","Mexico","Yes"
"Cacao Sampaka","Xoconusco, Chiapas",346,2009,70,"Spain",4,"Criollo","Mexico","Yes"
"Cacao Store","Madagascar",1684,2015,70,"Japan",3,"Trinitario","Madagascar","Yes"
"Cacao Store","Peru",1684,2015,70,"Japan",3.25,NA,"Peru","Yes"
"Cacao Store","Vietnam",1684,2015,70,"Japan",3.5,"Trinitario","Vietnam","Yes"
"Cacaosuyo (Theobroma Inversiones)","Piura",1173,2013,70,"Peru",3.25,NA,"Peru","Yes"
"Cacaoyere (Ecuatoriana)","Amazonia",237,2008,63,"Ecuador",3.5,"Forastero (Arriba)","Ecuador","No"
"Cacaoyere (Ecuatoriana)","Esmeraldas",237,2008,71,"Ecuador",3.5,"Forastero (Arriba)","Ecuador","Yes"
"Cacaoyere (Ecuatoriana)","Bolivar",245,2008,82,"Ecuador",2.5,"Forastero (Arriba)","Ecuador","Yes"
"Cacaoyere (Ecuatoriana)","Pichincha",259,2008,91,"Ecuador",1.5,"Forastero (Arriba)","Ecuador","Yes"
"Callebaut","Grenade",296,2008,60,"Belgium",2.75,"Trinitario","Grenada","No"
"Callebaut","Baking",141,2007,70,"Belgium",1,NA,"Ecuador","Yes"
"C-Amaro","Cuba",1442,2014,75,"Italy",2.5,NA,"Cuba","Yes"
"C-Amaro","Dominican Republic",1442,2014,72,"Italy",3,NA,"Dominican Republic","Yes"
"C-Amaro","Ecuador",1185,2013,100,"Italy",3.5,NA,"Ecuador","Yes"
"C-Amaro","Venezuela",809,2012,80,"Italy",3,NA,"Venezuela","Yes"
"C-Amaro","Sao Tome",749,2011,78,"Italy",2.25,"Forastero","Sao Tome","Yes"
"C-Amaro","Trinidad",765,2011,70,"Italy",2.5,"Trinitario","Trinidad","Yes"
"Cao","Porcelana",1804,2016,75,"U.S.A.",2.5,"Criollo","Venezuela","Yes"
"Cao","Tanzania",1804,2016,73,"U.S.A.",2.75,NA,"Tanzania","Yes"
"Cao","Porcelana, Batch 5163",1804,2016,70,"U.S.A.",3,"Criollo","Venezuela","Yes"
"Cao","Bolivia",1808,2016,75,"U.S.A.",3,NA,"Bolivia","Yes"
"Cao","Brazil",1808,2016,70,"U.S.A.",3.25,"Trinitario","Brazil","Yes"
"Caoni (Tulicorp)","Esmeraldas",237,2008,77,"Ecuador",2,"Forastero (Arriba)","Ecuador","Yes"
"Caoni (Tulicorp)","Manabi",237,2008,77,"Ecuador",2.5,"Forastero (Arriba)","Ecuador","Yes"
"Caoni (Tulicorp)","Los Rios",245,2008,77,"Ecuador",2.75,"Forastero (Arriba)","Ecuador","Yes"
"Caoni (Tulicorp)","Manabi",266,2008,55,"Ecuador",3,"Forastero (Arriba)","Ecuador","No"
"Caoni (Tulicorp)","Los Rios",269,2008,55,"Ecuador",3.25,"Forastero (Arriba)","Ecuador","No"
"Caoni (Tulicorp)","Esmeraldas",269,2008,55,"Ecuador",3.5,"Forastero (Arriba)","Ecuador","No"
"Captain Pembleton","Saidor Estate, Madang P.",1263,2014,70,"New Zealand",3.5,"Trinitario","Papua New Guinea","Yes"
"Captain Pembleton","Kulili Estate",1263,2014,70,"New Zealand",3.75,NA,"Papua New Guinea","Yes"
"Caribeans","Antigua, Special Reserve",1582,2015,72,"Costa Rica",3.5,NA,"Guatemala","Yes"
"Caribeans","Talamanca, Raul-Kekoldo community",1586,2015,72,"Costa Rica",3.25,NA,"Costa Rica","Yes"
"Caribeans","Anselmo Paraiso Estate",1586,2015,72,"Costa Rica",3.5,NA,"Costa Rica","Yes"
"Caribeans","Costa Rica",841,2012,72,"Costa Rica",3,"Forastero","Costa Rica","Yes"
"Caribeans","Costa Rica",845,2012,80,"Costa Rica",2.75,"Forastero","Costa Rica","Yes"
"Carlotta Chocolat","Arauca",1884,2016,65,"Colombia",3,"Trinitario","Colombia","No"
"Carlotta Chocolat","Tumaco",1888,2016,65,"Colombia",3.25,"Trinitario","Colombia","No"
"Carlotta Chocolat","Cordoba",1888,2016,65,"Colombia",3.25,"Trinitario","Colombia","No"
"Carlotta Chocolat","Huila",1888,2016,65,"Colombia",3.5,"Trinitario","Colombia","No"
"Carlotta Chocolat","Cesar",1888,2016,65,"Colombia",3.5,"CCN51","Colombia","No"
"Castronovo","Maya Mtn, Batch 454, Heirloom",1724,2016,72,"U.S.A.",4,"Trinitario","Belize","Yes"
"Castronovo","the lost city, gracias a dias, batch 362",1570,2015,72,"U.S.A.",3.5,"Trinitario","Honduras","Yes"
"Castronovo","Duarte, Batch 360",1570,2015,70,"U.S.A.",3.75,"Criollo, Trinitario","Domincan Republic","Yes"
"Castronovo","Piaroa, Amazonas, Batch 350",1574,2015,72,"U.S.A.",3.5,NA,"Venezuela","Yes"
"Castronovo","Sierra Nevada",1347,2014,72,"U.S.A.",3.5,"Criollo, Trinitario","Colombia","Yes"
"Castronovo","Arauca",1371,2014,76,"U.S.A.",3.5,"Criollo, Trinitario","Colombia","Yes"
"Castronovo","Elvesia P.",1407,2014,70,"U.S.A.",2.75,"Trinitario","Dominican Republic","Yes"
"Castronovo","Bolivia",1101,2013,70,"U.S.A.",3,"Trinitario","Bolivia","Yes"
"Castronovo","Conacado",1101,2013,73,"U.S.A.",3.5,"Trinitario","Dominican Republic","Yes"
"Castronovo","San Martin",1105,2013,70,"U.S.A.",2.5,"Criollo","Peru","Yes"
"Castronovo","Guaniamo, Amazonas",1105,2013,70,"U.S.A.",3.25,NA,"Venezuela","Yes"
"Castronovo","Nicaragua",1109,2013,72,"U.S.A.",3.25,"Trinitario","Nicaragua","Yes"
"Castronovo","Tumbes",1153,2013,70,"U.S.A.",2.75,"Criollo","Peru","Yes"
"Castronovo","Guaniamo",1153,2013,72,"U.S.A.",3,NA,"Venezuela","Yes"
"Cello","Ecuador",1247,2014,70,"U.S.A.",2.5,NA,"Ecuador","Yes"
"Cello","Peru",1247,2014,70,"U.S.A.",2.75,NA,"Peru","Yes"
"Cello","Venezuela",1251,2014,70,"U.S.A.",2.75,NA,"Venezuela","Yes"
"Cello","Bolivia",1251,2014,70,"U.S.A.",3,NA,"Bolivia","Yes"
"Cemoi","Equateur",404,2009,72,"France",2.75,NA,"Ecuador","Yes"
"Chaleur B","Uganda",1426,2014,70,"Canada",2.75,"Forastero","Uganda","Yes"
"Charm School","Maya Mtn",1900,2016,70,"U.S.A.",3.25,NA,"Belize","Yes"
"Chchukululu (Tulicorp)","Arriba",486,2010,55,"Ecuador",2.75,"Forastero (Arriba)","Ecuador","No"
"Chchukululu (Tulicorp)","Los Rios",252,2008,75,"Ecuador",3,"Forastero (Arriba)","Ecuador","Yes"
"Chequessett","la Amistad",1235,2014,70,"U.S.A.",3.5,NA,"Costa Rica","Yes"
"Chocablog","Ecuador",1454,2015,70,"U.K.",3.25,NA,"Ecuador","Yes"
"Choco Del Sol","Maya Mountain w/ nibs",1407,2014,75,"Germany",3,"Trinitario","Belize","Yes"
"Choco Del Sol","Maya Mountain",1407,2014,82,"Germany",3.25,"Trinitario","Belize","Yes"
"Choco Dong","Mekong Delta, early 2014 Harvest",1696,2015,70,"South Korea",2.75,"Trinitario","Vietnam","Yes"
"Choco Dong","Tawau, Oct. 2015 Harvest",1696,2015,70,"South Korea",3.5,"Trinitario","Malaysia","Yes"
"Chocolarder","Peru",1482,2015,65,"U.K.",2.5,"Criollo","Peru","No"
"Chocolarder","Peru + nibs",1482,2015,65,"U.K.",2.75,"Criollo","Peru","No"
"Chocolarder","Dominican Republic",1514,2015,80,"U.K.",2.5,NA,"Dominican Republic","Yes"
"Chocola'te","Madagascar",647,2011,70,"U.S.A.",3.75,"Trinitario","Madagascar","Yes"
"Chocola'te","Venezuela",647,2011,68,"U.S.A.",3.75,NA,"Venezuela","No"
"Chocolate Alchemist-Philly","Tumbes, ""Zarumilla""",1772,2016,90,"U.S.A.",2.5,NA,"Peru","Yes"
"Chocolate Con Amor","Wild Bolivian",1760,2016,70,"U.S.A.",2.5,NA,"Bolivia","Yes"
"Chocolate Con Amor","Uganda",1760,2016,70,"U.S.A.",2.75,NA,"Uganda","Yes"
"Chocolate Con Amor","Dominican Republic",1764,2016,60,"U.S.A.",3,NA,"Dominican Republic","No"
"Chocolate Con Amor","Dominican Republic",1764,2016,75,"U.S.A.",3,NA,"Dominican Republic","Yes"
"Chocolate Con Amor","Ocumare",1764,2016,80,"U.S.A.",3,"Criollo (Ocumare)","Venezuela","Yes"
"Chocolate Con Amor","Ecuador",1764,2016,70,"U.S.A.",3.25,NA,"Ecuador","Yes"
"Chocolate Con Amor","Nicaragua",1768,2016,80,"U.S.A.",2.75,NA,"Nicaragua","Yes"
"Chocolate Conspiracy","Peru",1259,2014,74,"U.S.A.",2.75,NA,"Peru","Yes"
"Chocolate Makers","Tres Hombres",1530,2015,75,"Amsterdam",3.25,"Trinitario","Dominican Republic","Yes"
"Chocolate Makers","Congo, Gorilla bar",1530,2015,68,"Amsterdam",3.5,"Forastero","Congo","No"
"Chocolate Makers","Peru, Awagum bar",1530,2015,80,"Amsterdam",3.75,"Criollo","Peru","Yes"
"Chocolate Tree, The","Maranon",1582,2015,69,"Scotland",3.75,"Forastero (Nacional)","Peru","No"
"Chocolate Tree, The","Carenero Superior",1582,2015,80,"Scotland",3.75,"Trinitario","Venezuela","Yes"
"Chocolate Tree, The","Peru",1121,2013,70,"Scotland",3.75,"Forastero (Nacional)","Peru","Yes"
"Chocolate Tree, The","Ecuador",919,2012,82,"Scotland",2.5,"Forastero (Arriba)","Ecuador","Yes"
"Chocolate Tree, The","Peru",919,2012,68,"Scotland",2.75,"Criollo","Peru","No"
"Chocolate Tree, The","Madagascar",919,2012,72,"Scotland",3.25,"Criollo","Madagascar","Yes"
"Chocolats Privilege","Xoconusco",1219,2014,70,"Canada",2.5,"Criollo","Mexico","Yes"
"ChocoReko","Patanemo",1454,2015,77,"Japan",3,"Criollo","Venezuela","Yes"
"Chocosol","Chiapas, Lacandon Jungle, Oaxacom Mtn",682,2011,65,"Canada",3.25,NA,"Mexico","No"
"Chocovic","Xoconusco",478,2010,71,"Spain",3.25,"Criollo","Mexico","Yes"
"Chocovic","Sambirano",478,2010,71,"Spain",3.5,"Trinitario","Madagascar","Yes"
"Chocovic","Ocumare",209,2008,71,"Spain",3.5,"Criollo","Venezuela","Yes"
"Chocovic","Bolivar, Guaranda",117,2007,71,"Spain",2.5,"Forastero (Arriba)","Ecuador","Yes"
"Chocovic","Guyave",117,2007,71,"Spain",2.5,"Trinitario","Grenada","Yes"
"Chocovivo","Tabasco",1522,2015,65,"U.S.A.",2.5,"Trinitario","Mexico","No"
"Chocovivo","Tabasco",1522,2015,75,"U.S.A.",2.5,"Trinitario","Mexico","Yes"
"Choklat","Ocumare",377,2009,80,"Canada",2.5,"Criollo","Venezuela","Yes"
"Choklat","Porcelana, Tabasco",377,2009,70,"Canada",2.75,"Criollo","Mexico","Yes"
"Choklat","Brazilian",377,2009,70,"Canada",3,NA,"Brazil","Yes"
"Choklat","Brazilian",377,2009,80,"Canada",3,NA,"Brazil","Yes"
"Choklat","Ocumare",377,2009,70,"Canada",3,"Criollo","Venezuela","Yes"
"Chokolat Elot (Girard)","Guadeloupe",1149,2013,42,"Martinique",2.75,NA,"Martinique","No"
"Choocsol","Chiapas, Lacandon Jungle, Oaxacom Mtn",1832,2016,75,"Canada",3.25,NA,"Mexico","Yes"
"Christopher Morel (Felchlin)","Maranon Canyon, Fortunato No. 4",666,2011,68,"Canada",3.75,"Forastero (Nacional)","Peru","No"
"Chuao Chocolatier","Choroni",445,2009,61,"U.S.A.",3,"Criollo","Venezuela","No"
"Chuao Chocolatier (Pralus)","Chuao",486,2010,77,"U.S.A.",2.75,"Trinitario","Venezuela","Yes"
"Claudio Corallo","Terreiro Velho P.",470,2010,73.5,"Sao Tome",3.75,"Forastero","Sao Tome & Principe","Yes"
"Claudio Corallo","Terreiro Velho P. w/ sugar crystals",209,2008,80,"Sao Tome",3,"Forastero","Sao Tome & Principe","Yes"
"Claudio Corallo","Terreiro Velho P.",227,2008,75,"Sao Tome",4,"Forastero","Sao Tome & Principe","Yes"
"Claudio Corallo","Principe",252,2008,100,"Sao Tome",1,"Forastero","Sao Tome & Principe","Yes"
"Cloudforest","Camino Verde P., Balao, Guayas, 2014",1486,2015,73,"U.S.A.",3.5,NA,"Ecuador","Yes"
"Coleman & Davis","Sambirano",1646,2015,75,"U.S.A.",3,"Trinitario","Madagascar","Yes"
"Compania de Chocolate (Salgado)","Sur del Lago",579,2010,70,"Argentina",3.25,NA,"Venezuela","Yes"
"Compania de Chocolate (Salgado)","Carenero Superior",292,2008,80,"Argentina",2.75,"Trinitario","Venezuela","Yes"
"Compania de Chocolate (Salgado)","Moxos",292,2008,72,"Argentina",3.25,NA,"Bolivia","Yes"
"Compania de Chocolate (Salgado)","Ocumare",292,2008,70,"Argentina",3.75,"Criollo","Venezuela","Yes"
"Compania de Chocolate (Salgado)","Esmeraldas",296,2008,88,"Argentina",2.75,"Forastero (Nacional)","Ecuador","Yes"
"Condor","Camino Verde",1630,2015,76,"U.S.A.",3.5,NA,"Ecuador","Yes"
"Confluence","Tien Giang, 2015, batch 10-2-16",1916,2016,78,"U.S.A.",2.75,"Trinitario","Vietnam","Yes"
"Coppeneur","Ecuador, Puristique",1169,2013,65,"Germany",3.25,"Forastero (Nacional)","Ecuador","No"
"Coppeneur","Ghana Puristique",813,2012,85,"Germany",3.5,"Forastero","Ghana","Yes"
"Coppeneur","Ecuador Puristique",817,2012,100,"Germany",1.5,NA,"Ecuador","Yes"
"Coppeneur","Uba Budo",821,2012,72,"Germany",3.75,"Forastero","Sao Tome & Principe","Yes"
"Coppeneur","Madagascar",959,2012,70,"Germany",3.5,"Trinitario","Madagascar","Yes"
"Coppeneur","Grenada",470,2010,72,"Germany",3.25,"Trinitario","Grenada","Yes"
"Coppeneur","Chuao",478,2010,70,"Germany",3,"Trinitario","Venezuela","Yes"
"Coppeneur","Los Rios, H. Iara",558,2010,72,"Germany",2.5,"Nacional","Ecuador","Yes"
"Coppeneur","Trinidad",558,2010,72,"Germany",3,"Trinitario","Trinidad","Yes"
"Coppeneur","Jamaica",558,2010,72,"Germany",3.25,"Trinitario","Jamaica","Yes"
"Coppeneur","Ocumare 61",558,2010,72,"Germany",3.25,"Criollo (Ocumare 61)","Venezuela","Yes"
"Coppeneur","Porcelana, Apotequil",341,2009,72,"Germany",3,"Criollo","Peru","Yes"
"Coppeneur","Porcelana, Apotequil",445,2009,62,"Germany",3.25,"Criollo","Peru","No"
"Coppeneur","Chuao 100hr",451,2009,70,"Germany",3.5,"Criollo, Trinitario","Venezuela","Yes"
"Coppeneur","Chuao 70hr",451,2009,70,"Germany",3.75,"Criollo, Trinitario","Venezuela","Yes"
"Coppeneur","Porcelana, Tabasco, Mexico",220,2008,72,"Germany",3,"Criollo","Mexico","Yes"
"Coppeneur","Porcelana, Venezuela",220,2008,72,"Germany",3,"Criollo (Porcelana)","Venezuela","Yes"
"Coppeneur","Sambirano, Menava P.",196,2007,72,"Germany",3,"Trinitario","Madagascar","Yes"
"Cravve","New Ireland",1283,2014,70,"Australia",2.5,"Forastero","Papua New Guinea","Yes"
"Cravve","Vanuatu, batch 2410",1335,2014,83,"Australia",2.75,"Trinitario","Vanuatu","Yes"
"Cravve","Tanzania, batch a1",971,2012,75,"Australia",3.25,"Forastero","Tanzania","Yes"
"Cravve","Bahia, batch a1213",975,2012,65,"Australia",3.25,"Trinitario","Brazil","No"
"Cravve","Namau Village, N. Taileva P., batch a2812",975,2012,67,"Australia",3.25,"Trinitario","Fiji","No"
"Cravve","Vanuatu",975,2012,64,"Australia",3.25,"Trinitario","Vanuatu","No"
"Cravve","Djual Island",975,2012,75,"Australia",3.5,"Forastero","Papua New Guinea","Yes"
"Creo","""heirloom"", Arriba Nacional",1736,2016,85,"U.S.A.",3.25,"Forastero (Nacional)","Ecuador","Yes"
"Creo","""heirloom"", Arriba Nacional",1736,2016,73,"U.S.A.",3.75,"Forastero (Nacional)","Ecuador","Yes"
"Daintree","Goodman Estate",1654,2015,70,"Australia",2.75,NA,"Australia","Yes"
"Daintree","Daintree Estates, N. Queensland",785,2011,70,"Australia",3.25,NA,"Australia","Yes"
"Dalloway","Dominican Republic, batch 7",1928,2017,72,"U.S.A.",2.75,NA,"Dominican Republic","Yes"
"Damson","Robson Estate",1610,2015,70,"U.K.",3,"Trinitario","Trinidad","Yes"
"Damson","Los Rios",1610,2015,70,"U.K.",3.5,NA,"Ecuador","Yes"
"Damson","Crayfish Bay aka Non Pariel Estate",1666,2015,70,"U.K.",2.25,NA,"Grenada","Yes"
"Damson","O'Payo",1666,2015,70,"U.K.",2.75,NA,"Nicaragua","Yes"
"Dandelion","Maya Mtn., Break Bar- Snark",1446,2015,70,"U.S.A.",3,"Trinitario","Belize","Yes"
"Dandelion","Maya Mountain",1219,2014,70,"U.S.A.",3.5,"Trinitario","Belize","Yes"
"Dandelion","Camino Verde P., Balao, Guayas, 2013",1295,2014,70,"U.S.A.",3.5,NA,"Ecuador","Yes"
"Dandelion","Buto",1303,2014,70,"U.S.A.",2.75,NA,"Liberia","Yes"
"Dandelion","San Francisco de Macoris, Cibao region",1387,2014,70,"U.S.A.",3.75,NA,"Dominican Republic","Yes"
"Dandelion","Cumboto, farmer Jose Lugo",1026,2013,70,"U.S.A.",2.75,NA,"Venezuela","Yes"
"Dandelion","Patanemo",1026,2013,70,"U.S.A.",3.25,NA,"Venezuela","Yes"
"Dandelion","Mantuano, 2012",1085,2013,70,"U.S.A.",3.5,NA,"Venezuela","Yes"
"Dandelion","Papua New Guinea",1153,2013,70,"U.S.A.",3.5,NA,"Papua New Guinea","Yes"
"Dandelion","Upala",805,2012,70,"U.S.A.",3,NA,"Costa Rica","Yes"
"Dandelion","Colombian",805,2012,70,"U.S.A.",3.25,NA,"Colombia","Yes"
"Dandelion","Elvesia, 2011",915,2012,70,"U.S.A.",3.75,NA,"Dominican Republic","Yes"
"Dandelion","Dominican Republic",654,2011,70,"U.S.A.",3.25,NA,"Dominican Republic","Yes"
"Dandelion","Madagascar",654,2011,70,"U.S.A.",3.25,"Trinitario","Madagascar","Yes"
"Dandelion","Tanzania",654,2011,70,"U.S.A.",3.25,NA,"Tanzania","Yes"
"Danta","Los Ujuxtes",1223,2014,82,"Guatemala",3.25,NA,"Guatemala","Yes"
"Danta","Chuao",987,2012,75,"Guatemala",3,"Trinitario","Venezuela","Yes"
"Danta","Los Ujuxtes",987,2012,70,"Guatemala",3.75,NA,"Guatemala","Yes"
"Danta","Sambirano",987,2012,70,"Guatemala",3.75,"Trinitario","Madagascar","Yes"
"Danta","Las Acacias E.",987,2012,70,"Guatemala",4,"Criollo","Guatemala","Yes"
"Danta","Oscuro, Finca Chimelb",991,2012,70,"Guatemala",3.25,NA,"Guatemala","Yes"
"Danta","Los Ujuxtes",661,2011,60,"Guatemala",3.5,NA,"Guatemala","No"
"Danta","Las Acacias E.",423,2009,75,"Guatemala",3,"Criollo","Guatemala","Yes"
"Danta","Las Acacias E.",423,2009,60,"Guatemala",3.25,"Criollo","Guatemala","No"
"DAR","Venezuela, batch 122",1920,2016,72,"U.S.A.",2.75,NA,"Venezuela","Yes"
"DAR","Vietnam",1920,2016,72,"U.S.A.",3,"Trinitario","Vietnam","Yes"
"DAR","DUO, batch 002",1920,2016,70,"U.S.A.",3.25,NA,"Ecuador, Costa Rica","Yes"
"Dark Forest","Bolivia",1708,2016,75,"U.S.A.",3.25,NA,"Bolivia","Yes"
"Dark Forest","Madagascar",1550,2015,70,"U.S.A.",3,"Trinitario","Madagascar","Yes"
"Dark Forest","Ocumare",1550,2015,70,"U.S.A.",3.25,NA,"Venezuela","Yes"
"Dark Forest","Tanzania",1554,2015,70,"U.S.A.",3,NA,"Tanzania","Yes"
"Dark Forest","Ecuador",1554,2015,70,"U.S.A.",3.25,NA,"Ecuador","Yes"
"Davis","Ghana",1093,2013,70,"U.S.A.",2.5,"Forastero","Ghana","Yes"
"Davis","Rainforest",1093,2013,70,"U.S.A.",2.75,NA,"Dominican Republic","Yes"
"Davis","Venezuela",1093,2013,70,"U.S.A.",2.75,NA,"Venezuela","Yes"
"Davis","West Africa",907,2012,58,"U.S.A.",3.25,"Forastero","West Africa","No"
"De Mendes","Nativo, Varzea",1462,2015,72,"Brazil",3.5,NA,"Brazil","Yes"
"De Mendes","Selvagem, Jari",1462,2015,65,"Brazil",3.5,NA,"Brazil","No"
"De Villiers","Bundibugyo District",1832,2016,70,"South Africa",2.5,"Forastero","Uganda","Yes"
"De Villiers","Sambirano Valley, batch 2477",1832,2016,70,"South Africa",3,NA,"Madagascar","Yes"
"Dean and Deluca (Belcolade)","Madagascar",170,2007,66,"U.S.A.",2.5,"Trinitario","Madagascar","No"
"Dean and Deluca (Belcolade)","Costa Rica",175,2007,64,"U.S.A.",3,NA,"Costa Rica","No"
"Dean and Deluca (Belcolade)","Ecuador",175,2007,71,"U.S.A.",3,NA,"Ecuador","Yes"
"Dean and Deluca (Belcolade)","Ghana",175,2007,60,"U.S.A.",3,"Forastero","Ghana","No"
"Dean and Deluca (Belcolade)","Papua New Guinea",180,2007,64,"U.S.A.",3,NA,"Papua New Guinea","No"
"Dean and Deluca (Belcolade)","Peru",180,2007,64,"U.S.A.",3,NA,"Peru","No"
"Debauve & Gallais (Michel Cluizel)","Papua New Guinea",423,2009,64,"France",3,NA,"Papua New Guinea","No"
"Debauve & Gallais (Michel Cluizel)","Venezuela",263,2008,66,"France",3.75,NA,"Venezuela","No"
"Desbarres","Kilombero, batch 41",1916,2016,72,"Canada",2.5,NA,"Tanzania","Yes"
"DeVries","Bolivian",241,2008,80,"U.S.A.",2.75,NA,"Bolivia","Yes"
"DeVries","Costa Rica",166,2007,77,"U.S.A.",3.5,"Trinitario","Costa Rica","Yes"
"DeVries","Dominican Republic",166,2007,77,"U.S.A.",3.5,NA,"Dominican Republic","Yes"
"Dick Taylor","Lanquin Estate",1952,2017,70,"U.S.A.",3.75,NA,"Guatemala","Yes"
"Dick Taylor","Tien Giang",1864,2016,78,"U.S.A.",3.5,"Trinitario","Vietnam","Yes"
"Dick Taylor","Alto Beni, Wild Harvest, Limited Ed.",1634,2015,70,"U.S.A.",3.75,NA,"Bolivia","Yes"
"Dick Taylor","Elvesia",1235,2014,74,"U.S.A.",3.5,NA,"Dominican Republic","Yes"
"Dick Taylor","Ecuador, Choc. Garage Exclusive",1034,2013,70,"U.S.A.",3.25,NA,"Ecuador","Yes"
"Dick Taylor","Camino Verde",1193,2013,76,"U.S.A.",3.5,NA,"Ecuador","Yes"
"Dick Taylor","Bolivia",895,2012,75,"U.S.A.",2.75,NA,"Bolivia","Yes"
"Dick Taylor","Belize",955,2012,72,"U.S.A.",2.75,"Trinitario","Belize","Yes"
"Dick Taylor","Sambirano",661,2011,80,"U.S.A.",2.75,"Trinitario","Madagascar","Yes"
"Dick Taylor","Sambirano",661,2011,72,"U.S.A.",3,"Trinitario","Madagascar","Yes"
"Dick Taylor","Mantuano",682,2011,75,"U.S.A.",2.75,"Criollo","Venezuela","Yes"
"Dick Taylor","La Red",769,2011,74,"U.S.A.",3,NA,"Dominican Republic","Yes"
"Dick Taylor","Ecuador",769,2011,70,"U.S.A.",3.25,NA,"Ecuador","Yes"
"Doble & Bignall","Puerto Cabello",1688,2015,85,"U.K.",3,NA,"Venezuela","Yes"
"Doble & Bignall","Panama, Raven",1371,2014,72,"U.K.",3.25,NA,"Panama","Yes"
"Doble & Bignall","Puerto Cabello, Mantuano",1371,2014,72,"U.K.",3.25,"Trinitario","Venezuela","Yes"
"Doble & Bignall","Johe",1407,2014,72,"U.K.",3.5,"Criollo, Trinitario","Nicaragua","Yes"
"Dole (Guittard)","O'ahu, N. Shore, Waialua Estate",311,2009,70,"U.S.A.",3.75,NA,"Hawaii","Yes"
"Dolfin (Belcolade)","Africa",304,2008,88,"Belgium",3,"Forastero","West Africa","Yes"
"Domori","Hacienda Victoria",1672,2015,70,"Italy",3.75,NA,"Ecuador","Yes"
